Data	Diária Do dia	Diária No ano	Acumulada Mês	Acumulada Ano	Acumulada  30 dias	Acumulada  12 meses	Acumulada Diária
03/01/2022	0,034749	9,15	0,0347	0,0347	0,7157	4,4599	100,0347490
04/01/2022	0,034749	9,15	0,0695	0,0695	0,7507	4,4884	100,0695101
05/01/2022	0,034749	9,15	0,1043	0,1043	0,7857	4,5169	100,1042832
06/01/2022	0,034749	9,15	0,1391	0,1391	0,7912	4,5454	100,1390685
07/01/2022	0,034749	9,15	0,1739	0,1739	0,7968	4,5739	100,1738658
10/01/2022	0,034749	9,15	0,2087	0,2087	0,7323	4,6025	100,2086752
11/01/2022	0,034749	9,15	0,2435	0,2435	0,7673	4,631	100,2434967
12/01/2022	0,034749	9,15	0,2783	0,2783	0,8023	4,6595	100,2783303
13/01/2022	0,034749	9,15	0,3132	0,3132	0,8023	4,6881	100,3131761
14/01/2022	0,034749	9,15	0,348	0,348	0,8023	4,7166	100,3480339
17/01/2022	0,034749	9,15	0,3829	0,3829	0,7323	4,7452	100,3829038
18/01/2022	0,034749	9,15	0,4178	0,4178	0,7673	4,7738	100,4177859
19/01/2022	0,034749	9,15	0,4527	0,4527	0,8023	4,8024	100,45268
20/01/2022	0,034749	9,15	0,4876	0,4876	0,8023	4,8309	100,4875863
21/01/2022	0,034749	9,15	0,5225	0,5225	0,6973	4,8595	100,5225048
24/01/2022	0,034749	9,15	0,5574	0,5574	0,7323	4,8881	100,5574353
25/01/2022	0,034749	9,15	0,5924	0,5924	0,7673	4,9168	100,592378
26/01/2022	0,034749	9,15	0,6273	0,6273	0,8023	4,9454	100,6273329
27/01/2022	0,034749	9,15	0,6623	0,6623	0,8023	4,974	100,6622999
28/01/2022	0,034749	9,15	0,6973	0,6973	0,8023	5,0026	100,697279
31/01/2022	0,034749	9,15	0,7323	0,7323	0,8023	5,0313	100,7322703
01/02/2022	0,034749	9,15	0,0347	0,7673	0,7673	5,0599	100,7672738
02/02/2022	0,034749	9,15	0,0695	0,8023	0,8023	5,0886	100,8022894
03/02/2022	0,040168	10,65	0,1097	0,8428	0,8078	5,123	100,8427797
